Date,Open,High,Low,Close,Adj Close,Volume
2013-12-04,840.0,853.0,827.0,829.7000122070312,794.6882934570312,112867
2013-12-05,834.4000244140625,846.0,831.4500122070312,834.4000244140625,799.1900634765625,127147
2013-12-06,831.0999755859375,843.6500244140625,831.0999755859375,833.4000244140625,798.2322387695312,89883
2013-12-09,840.0,849.4000244140625,815.3499755859375,835.0999755859375,799.8602905273438,111697
2013-12-10,839.0,852.0,837.0,848.9500122070312,813.1260986328125,122883
2013-12-11,850.0,856.7000122070312,839.0,850.4000244140625,814.5148315429688,158018
2013-12-12,843.0,848.9500122070312,836.0499877929688,839.2999877929688,803.8831787109375,64129
2013-12-13,835.0,839.0,821.1500244140625,823.8499755859375,789.0849609375,64915
2013-12-16,824.0,836.0,824.0,827.4500122070312,792.5332641601562,105390
2013-12-17,838.5499877929688,844.0,818.0,820.5,785.87646484375,179777
2013-12-18,825.0,827.5999755859375,818.0499877929688,821.9500122070312,787.265380859375,140712
2013-12-19,823.0,828.25,818.4000244140625,821.4500122070312,786.7864379882812,93631
2013-12-20,821.4500122070312,836.9000244140625,821.4500122070312,830.5999755859375,795.5503540039062,152122
2013-12-23,834.0,866.7000122070312,832.5,848.4000244140625,812.5993041992188,191370
2013-12-24,845.0999755859375,884.0,845.0999755859375,874.8499755859375,837.9330444335938,1261854
2013-12-26,880.0,894.9000244140625,880.0,884.8499755859375,847.5110473632812,207883
2013-12-27,889.9500122070312,945.0,889.9000244140625,938.9000244140624,899.2802124023438,891625
2013-12-30,948.4500122070312,961.7000122070312,932.8499755859376,949.7000122070312,909.6244506835938,360277
2013-12-31,954.0,954.0,939.2999877929688,946.4000244140624,906.4638671875,720225
2014-01-01,940.25,987.6500244140624,940.25,969.2999877929688,928.3973999023438,335988
2014-01-02,969.9500122070312,975.5499877929688,920.4500122070312,930.5499877929688,891.2825317382812,172239
2014-01-03,925.0,962.4000244140624,921.1500244140624,951.9500122070312,911.7796020507812,148814
2014-01-06,946.0,951.9000244140624,937.0499877929688,945.7000122070312,905.7933349609376,95362
2014-01-07,940.0499877929688,948.7000122070312,922.25,932.0999755859376,892.7672119140625,137831
2014-01-08,937.0,938.2999877929688,903.2999877929688,907.6500244140624,869.3489379882812,170459
2014-01-09,913.0,913.0,876.0499877929688,894.4000244140625,856.6582641601562,260764
2014-01-10,895.5999755859375,920.0,894.4000244140625,916.5999755859376,877.9212646484375,172729
2014-01-13,921.7000122070312,930.0,891.0,899.0999755859375,861.1596069335938,156681
2014-01-14,891.1500244140625,912.4000244140624,891.1500244140625,902.2999877929688,864.2246704101562,59681
2014-01-15,903.0,912.0,893.0,906.5999755859376,868.3432006835938,135377
